text,label
価格に対して質が低いと感じました,0
プロジェクトが思うように進まない,0
つまらないです,0
また利用したいと思います,1
仕上げが粗いと感じました,0
実用性が低いと感じました,0
色合いが写真と違いました,0
宿題が早く終わって楽だった,1
感動しました,1
期待外れの結果でした,0
対応が不誠実だと感じました,0
軽くて持ち運びやすいです,1
届くまでに時間がかかりすぎました,0
発送が早くて助かりました,1
使い勝手が悪くて残念です,0
想定より重くて扱いにくいです,0
ペットの体調が心配だ,0
配慮が足りないと感じました,0
面接がうまくいってほっとした,1
もう二度と利用したくないです,0
実用性が高くて満足しています,1
修学旅行がとても楽しかった,1
残念な買い物体験でした,0
テストの点数が悪かった,0
試験に合格してほっとした,1
サクサク動いて快適です,1
料理が思うように作れなかった,0
面接がうまくいかず落ち込んだ,0
使いにくくて困りました,0
手順がわかりにくく迷いました,0
毎日使っていますがとても便利です,1
操作が複雑すぎて使えません,0
対応が早くて好印象でした,1
信頼できるサービスだと思います,1
使うたびに不便さを感じます,0
プロジェクトが無事完成した,1
使いやすくて満足しています,1
わかりやすい手順で迷わず使えました,1
対応してくれたスタッフが親切でした,1
想定よりも軽量で扱いやすいです,1
丁寧な接客が印象的でした,1
気軽に始められて良かったです,1
気分が落ち込む朝だった,0
見やすく整理されていて助かります,1
とても落ち着いた色合いで気に入っています,1
細かい配慮が感じられて嬉しいです,1
価格に対して割高だと感じました,0
品質が安定していないと感じました,0
成績が上がって自信がついた,1
質感が硬く不快に感じました,0
予想以上に悪い出来でした,0
サプライズに感動した,1
全体的にクオリティが低いです,0
丈夫で長く使えそうです,1
プレゼンが不評で落ち込んだ,0
旅行の予定がキャンセルになった,0
とても清潔感があって良かったです,1
サポート体制がしっかりしていて安心です,1
梱包が雑で驚きました,0
驚くほど快適に使えました,1
扱いにくくて困っています,0
操作性が抜群で使いやすいです,1
おすすめできる商品です,1
とても残念な結果でした,0
返品したいくらい不満です,0
コスパが良くて嬉しいです,1
見た目も性能も申し分ありません,1
宿題が多すぎて大変だった,0
とてもスタイリッシュなデザインです,1
二度目は利用しないと思います,0
クラスのみんなと仲良くなれた,1
新しい仕事にやりがいを感じる,1
見るたびにがっかりします,0
発送が遅くて困りました,0
今日は天気が良くて気持ちいい,1
趣味の時間が取れず残念だ,0
見るたびに気分が上がります,1
扱いやすくて重宝しています,1
とても丁寧に対応していただきました,1
運動不足で体がだるい,0
値段に見合わないと思います,0
お金の無駄でした,0
とても満足しています,1
目標を達成できて満足している,1
想像以上の仕上がりに感動しました,1
部活で目標を達成できた,1
上司に評価されて嬉しかった,1
使い心地がとても良いです,1
想像以上に良かったです,1
コストパフォーマンスが高いです,1
対応してくれたスタッフが不親切でした,0
気持ちの良い買い物体験でした,1
とても頼りになる存在です,1
始めるまでの手順が複雑でした,0
とても助かりました,1
友人にもおすすめしたいです,1
ストレスが溜まる内容でした,0
新しい環境にも慣れてきた,1
給料が上がらず不満がある,0
使うたびに快適さを感じます,1
手触りが悪く残念でした,0
工夫が詰まっていて感心しました,1
ストレスなく使えています,1
案内が不十分で困りました,0
上司に怒られて気分が悪い,0
色合いが暗く感じました,0
新しい趣味を見つけて楽しい,1
値段以上の価値があります,1
信頼できないと感じました,0
想定以上の機能で驚きました,1
家族との時間が楽しかった,1
友達と喧嘩してしまった,0
とても良心的な価格設定です,1
細部の作りが甘いと感じました,0
清潔感が感じられませんでした,0
新しいことを学べて嬉しい,1
良い習慣が身についてきた,1
目標が立てられず焦っている,0
サイズが思っていたより小さかったです,0
音質が悪くて驚きました,0
価格以上の満足感があります,1
故障が多くて困っています,0
もっと良いものを期待していました,0
対応が遅くて困りました,0
気持ちの良い朝を迎えられた,1
部活の試合で負けて悔しい,0
期待していた通りの仕上がりです,1
残業が減って助かっている,1
すぐに壊れてしまい残念です,0
なかなか会えなくて寂しい,0
健康診断の結果が良くて安心した,1
文化祭が大成功で良かった,1
品質が悪くて驚きました,0
仕事がうまくいって安心した,1
休日も忙しくて休めなかった,0
目標を達成できず悔しい,0
最悪の経験でした,0
サービスの質が低いと感じました,0
時間の無駄になりました,0
買ってよかったです,1
友達と過ごす時間が楽しい,1
誕生日を祝ってもらえて嬉しかった,1
改善してほしい点が多いです,0
昇進が決まって嬉しい,1
サービスの質に疑問を感じました,0
修学旅行で嫌なことがあった,0
給料が上がって嬉しい,1
シンプルながら高機能で驚きました,1
予想以上に使いやすかったです,1
とても柔らかく快適な質感です,1
同僚とうまく連携できなかった,0
先生に褒められて嬉しかった,1
すぐに壊れて長く使えませんでした,0
期待していたより悪かった,0
友達と疎遠になってしまった,0
対応の遅さにがっかりしました,0
機能が少なく不満でした,0
イメージ通りで満足しています,1
耐久性がなくすぐに傷みました,0
丁寧な仕上げに感心しました,1
イメージと全く違っていました,0
全く満足できませんでした,0
サポートが丁寧で助かりました,1
このクオリティなら納得です,1
わかりやすい説明で助かりました,1
ペットと過ごす時間が幸せだ,1
健康診断で不安な結果が出た,0
先生に怒られて落ち込んだ,0
不便な点が多かったです,0
見た目以上に使いやすかったです,1
とても気に入って毎日使っています,1
情報が整理されておらず困りました,0
デザインが古臭く感じました,0
丁寧に作られていると感じました,1
とても誠実な対応に感謝しています,1
想定より機能が少なく驚きました,0
久しぶりに会えてとても嬉しかった,1
細部までこだわりが感じられます,1
悪い習慣が直らず困っている,0
運動した後の爽快感が気持ち良い,1
内容が薄く物足りなかったです,0
とても面白いです,1
仕事の効率が悪く困っている,0
残業が多くて疲れている,0
細部の作り込みが素晴らしいです,1
文化祭の準備がうまくいかなかった,0
クラスでうまく馴染めなかった,0
サイズが合わずに困りました,0
対応の速さに感動しました,1
また使いたいと感じました,1
応用しやすく便利だと感じました,1
プレゼンが好評で安心した,1
期待を下回る完成度でした,0
初心者には難しすぎました,0
使うほどに不満が増えます,0
デザインがとても素敵です,1
資格試験に落ちてしまった,0
昇進できず残念だった,0
とても勉強になりました,1
サポートが不十分で困りました,0
とても良かったです,1
同僚と協力してうまくいった,1
気に入って何度も使っています,1
デザインが好みではありませんでした,0
説明がわかりにくかったです,0
応用が難しく不便でした,0
なかなか眠れず疲れが取れない,0
ぐっすり眠れて気分が良い,1
サービスの質が高くて感心しました,1
趣味の時間が充実していて楽しい,1
チームの雰囲気が良くて働きやすい,1
誕生日を一人で過ごし寂しかった,0
期待以上の出来でした,1
驚くほど早く届きました,1
仕事でミスをして落ち込んだ,0
気持ちよく取引できました,1
梱包も丁寧で安心しました,1
家族と意見が合わず困った,0
二度と買いません,0
想像していたよりずっと良いです,1
会議がスムーズに進んで良かった,1
職場の雰囲気が悪くて働きづらい,0
あまり頼りにならない印象でした,0
難しくて挫折しました,0
リピート購入したいです,1
部活の練習がつらかった,0
受験に合格できて本当に嬉しい,1
毎回安定した品質で安心です,1
操作性が悪くストレスを感じました,0
取引中に不快な思いをしました,0
大満足の買い物でした,1
サポート体制が不十分で不安です,0
期待していたことが実現しなかった,0
成績が下がって不安になった,0
見た目より使いにくかったです,0
操作が直感的でわかりやすかったです,1
長く使えそうで安心しています,1
使うほどに良さがわかります,1
勉強についていけず焦っている,0
